id,score,reproducible,Open Methodology & Documentation,Data Accessibility & Transparency,Code & Software Availability,Type of Analysis,Results & Interpretation,Preregistration
3706468.3706470,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706471,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706472,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706473,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706474,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706475,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706476,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706479,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706481,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706482,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706483,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706485,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706486,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706487,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706488,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706489,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706493,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706495,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706496,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706497,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706499,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706500,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706501,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706502,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706503,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706504,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706507,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706508,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706509,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706510,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706511,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706513,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706514,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706516,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706518,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706519,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706520,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706521,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706522,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706523,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706524,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706527,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706528,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706529,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706530,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706531,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706534,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706535,5,yes,Met,Met,Met,Met,Met,Met
3706468.3706538,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706540,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706541,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706544,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706545,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706546,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706548,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706549,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706550,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706552,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706556,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706558,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706559,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706560,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706563,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706564,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706565,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706567,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706568,4,no,Met,Not Met,Met,Met,Met,Not Met
3706468.3706570,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706571,5,yes,Met,Met,Met,Met,Met,Not Met
