id,score,reproducible,Open Methodology & Documentation,Data Accessibility & Transparency,Code & Software Availability,Type of Analysis,Results & Interpretation,Preregistration
3706468.3706495,2,no,Met,Not Met,Not Met,Met,Not Met,Not Met
3706468.3706509,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706513,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706518,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706529,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706519,3,no,Met,Met,Not Met,Met,Not Met,Not Met
3706468.3706544,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706488,3,no,Met,Not Met,Not Met,Met,Met,Not Met
3706468.3706487,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706483,5,yes,Met,Met,Met,Met,Met,Not Met
3706468.3706546,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706556,4,no,Met,Met,Not Met,Met,Met,Not Met
3706468.3706535,5,yes,Met,Met,Met,Met,Met,Met
3706468.3706552,1,no,Not Met,Not Met,Not Met,Met,Not Met,Not Met
